,foreigns,EU,length of residence 0-10 years,name,year,Permanent resident population
958,0.22755357037525,0.1877422627592513,0.4300483152267502,Dürnten,2023,6572.832009221836
959,0.2743193553083666,0.2243958892266689,0.4438227403192169,Ebikon,2023,12040.377674616511
960,0.1836720866176943,0.1569677250214104,0.3606286986977737,Ebnat-Kappel,2023,3487.5468579254866
961,0.2592724380332566,0.2253736957298379,0.4587650836224733,Echallens,2023,4862.842463562869
962,0.4917874430280111,0.3916848138631493,0.5126278624576868,Ecublens (VD),2023,11853.741738261524
963,0.2472361617843771,0.2080094158769752,0.4313230540426372,Egg,2023,7398.061634591342
964,0.2717963928186074,0.2327922341724472,0.4526489110733034,Eglisau,2023,4660.981250472511
965,0.2082583817333612,0.1881178304553916,0.4368117168505572,Egnach,2023,3749.4663218670944
966,0.2167000370505135,0.1768980803948021,0.4369316235647109,Ehrendingen,2023,3765.973075417152
967,0.2062448162711083,0.1659128644363243,0.3162826859307654,Einsiedeln,2023,13741.359529506854
968,0.2476550238515847,0.2060228384860482,0.4373094861280416,Elgg,2023,4192.458511056044
969,0.3355161607020018,0.2835225374703771,0.4709905812802692,Embrach,2023,8351.662254043487
970,0.4056273361460297,0.3559925129517034,0.4249393597857498,Emmen,2023,26796.57172957859
971,0.1892418981213558,0.1640213259692825,0.4333221621452081,Ennetbürgen,2023,4411.889086224759
972,0.3238153163461191,0.2599358516344598,0.4919691175161016,Epalinges,2023,7501.365884570858
973,0.2759136515833166,0.2259939867589352,0.4519003695653971,Erlenbach (ZH),2023,4860.7727490855705
974,0.1946527031616047,0.1635712181260547,0.3931300883042738,Eschenbach (SG),2023,7807.92344635832
975,0.1963723623315338,0.1695113735123062,0.4940894699353474,Eschlikon,2023,3834.3712487921857
976,0.2687133542944364,0.2259010185327192,0.445525283325289,Estavayer,2023,7270.994497829815
977,0.211793458125689,0.1791308259880093,0.4231470276046213,Ettingen,2023,4759.176617559191
978,0.2203062033483517,0.1871522637203935,0.4175483905614398,Fehraltorf,2023,6201.026331590809
979,0.2920464504415566,0.249573652552558,0.4879624177667075,Feusisberg,2023,5248.134813064555
980,0.3070950581744436,0.2658339136478244,0.4708513284538701,Fislisbach,2023,5233.368769831079
981,0.3318508647988262,0.2880401146356281,0.3474229519829976,Flawil,2023,7584.898551618049
982,0.2766241595727949,0.2557543236724217,0.3592889385318648,Flums,2023,3794.0120913849314
983,0.1261018527841015,0.1032540585766462,0.4413359472437053,Fraubrunnen,2023,3260.8645347551355
984,0.2928988284234317,0.2459814281717732,0.4090059332033515,Frauenfeld,2023,20763.395728716416
985,0.3284425387001957,0.272798345982382,0.4501990667013862,Freienbach,2023,16229.107902703228
986,0.3759222351642849,0.3235103647226593,0.4273487601857194,Frenkendorf,2023,5352.058488188185
987,0.3894069003889184,0.2779032389633231,0.473223024334667,Fribourg,2023,34598.12446831402
988,0.3019517261629431,0.2490213030529685,0.4523545389619777,Frick,2023,3982.2859472366417
989,0.1264101610644008,0.1044224540531856,0.3178744781041451,Frutigen,2023,5044.579629448812
990,0.2227404357411853,0.205534737411477,0.3903825104677478,Fully,2023,7366.990735769343
991,0.2765255758461795,0.2298140486693701,0.4779419446918804,Fällanden,2023,8258.170407214171
992,0.3400079959266764,0.2898692978819759,0.4424697596188375,Füllinsdorf,2023,3825.620855212309
993,0.1915773465155433,0.1548286484989834,0.3799022864285331,Gaiserwald,2023,6448.521052901311
994,0.242202491954343,0.209700735210539,0.4375063038739796,Galgenen,2023,4752.448049158616
995,0.2876599689055047,0.2607357843678378,0.3969288450813192,Gambarogno,2023,3551.750787187742
996,0.3031180205866577,0.2648916423296161,0.4699337710568138,Gebenstorf,2023,4597.489953292785
997,0.2263049578925011,0.1909302040107822,0.4151734884984295,Gelterkinden,2023,4999.8812584404495
998,0.5004827084080218,0.3493791719335271,0.4619622534722902,Genève,2023,203367.16720692447
999,0.4299515512337127,0.3465592238729046,0.4853282792626697,Gerlafingen,2023,4352.518190787344
1000,0.3261254797717976,0.2704400320775854,0.4671745791510256,Geroldswil,2023,4734.0112781967255
1001,0.2242132478953928,0.2001001145571199,0.4382842816465349,Gibloux,2023,5099.257038188429
1002,0.3667799599153889,0.3126462327475311,0.4923340088048368,Gland,2023,13169.908476310591
1003,0.3062351653296876,0.2569218853947488,0.3530618019506558,Glarus,2023,10911.23268856592
1004,0.3056557316397785,0.2668809753805888,0.3745063558822158,Glarus Nord,2023,15836.03137010368
1005,0.2465405196638558,0.2057893791395907,0.3733223580891447,Glarus Süd,2023,6904.973337133355
1006,0.2850105055004309,0.2392740546047562,0.4670948782119442,Glattfelden,2023,4564.4137846916165
1007,0.2941500232337573,0.2636290123800719,0.4148895143411404,Goldach,2023,8208.927564697395
1008,0.1850642995918738,0.1676411288825423,0.4201360151476001,Gommiswald,2023,4069.626128826303
1009,0.2318076942429193,0.2080781374328362,0.420990202824438,Gordola,2023,4145.281380912924
1010,0.2498672833983728,0.2093245475895261,0.3545050880871718,Gossau (SG),2023,15062.34494278594
1011,0.1907922269937099,0.1608733559325106,0.3970921394270721,Gossau (ZH),2023,8559.576737776713
