name,year,100k,1M,200k,500k,50k,>1M
Wollerau,2017,2.989447453703704,19.97057,7.249521031746031,13.94581484375,0.5750079778439153,20.65133465625
Wollerau,2018,2.989447453703704,19.97057,7.249521031746031,13.94581484375,0.5750079778439153,20.65133465625
Wollerau,2019,2.9377180390211644,19.693959305555556,7.146021626984126,13.7892390625,0.564731068121693,20.362979583333335
Wollerau,2020,2.818253951719577,19.22138532986111,6.9123339533730155,13.456931336805557,0.5394588707010581,19.87599871875
Wollerau,2021,2.8162088128306877,19.21524703125,6.908577207341271,13.451359288194444,0.5391255373677248,19.87051884375
Wollerau,2022,2.022090658068783,17.871901336805557,6.187708308531747,12.531509548611112,0.22434569279100525,18.47775315625
Wollerau,2023,1.9648479001322754,17.783711250000003,6.003666592261904,12.343626562499999,0.21864037698412694,18.41292825
Wollerau,2024,1.9489066964285713,17.76742486111111,5.923652033730159,12.25895824652778,0.2177681051587301,18.4128659375
Worb,2010,9.79771195436508,36.086875034722226,17.216056076388888,27.218230989583333,2.404434689153439,38.17036346875
Worb,2011,9.35054818121693,35.883034253472225,16.46369513888889,26.549419184027776,2.2370259176587304,38.12545314583333
Worb,2012,9.010179133597884,35.78875173611111,15.978627802579364,26.15781284722222,2.1696241319444445,38.123410239583336
Worb,2013,8.757667476851852,35.76631807291667,15.815824479166666,26.064420312499998,2.125523768187831,38.12289911458333
Worb,2014,8.757667476851852,35.61689020833333,15.815824479166666,26.047300520833332,2.125523768187831,37.915412135416666
Worb,2015,8.939171412037037,36.16422303819445,16.10844937996032,26.460646440972223,2.1704855737433864,38.504957427083326
Worb,2016,8.940970023148148,36.16603302083334,16.096000322420636,26.44067300347222,2.1742222635582014,38.51531759375
Worb,2017,8.940970023148148,36.16603302083334,16.096000322420636,26.44067300347222,2.1742222635582014,38.51531759375
Worb,2018,8.940970023148148,36.16603302083334,16.096000322420636,26.44067300347222,2.1742222635582014,38.51531759375
Worb,2019,8.94556883267196,36.16586927083333,16.096375322420634,26.439623524305553,2.174331638558201,38.51531759375
Worb,2020,8.912321064814815,36.10138723958333,16.046702901785714,26.376271180555555,2.163417576058201,38.45165803125
Worb,2021,8.846587764550264,35.89866725694445,15.939712301587303,26.221014930555555,2.1471566633597883,38.23504917708333
Worb,2022,8.846587764550264,35.89866725694445,15.939712301587303,26.221014930555555,2.1471566633597883,38.23504917708333
Worb,2023,8.839766666666666,36.06416644097222,15.863175892857143,26.21785503472222,2.1489104662698417,38.44534915625
Worb,2024,8.57747908399471,36.00139697916667,15.596521651785716,25.985543315972222,2.0281626570767197,38.444227624999996
Wädenswil,2010,5.550831398809525,32.96383897569444,12.429512475198413,22.666440625,1.2175050016534392,35.42715109375
Wädenswil,2011,5.246859656084656,32.29392647569445,11.694303645833333,21.844820833333333,1.1802392526455028,34.794302583333334
Wädenswil,2012,4.688578984788359,31.793608420138888,10.991255059523809,21.05155329861111,1.0129607308201058,34.43486184375
Wädenswil,2013,4.49827251984127,31.76248682291667,10.809310441468254,20.931960243055556,0.9939758597883598,34.43415296875
Wädenswil,2014,4.538746461640212,31.840398333333333,10.894723239087302,21.05596484375,1.001748718584656,34.48235775
Wädenswil,2015,4.579298908730159,32.05333097222222,10.980230257936508,21.195975868055555,1.0100141369047617,34.7180409375
Wädenswil,2016,4.5797711309523805,32.054957378472224,10.969814484126983,21.177849913194443,1.0111417824074074,34.7273863125
Wädenswil,2017,4.5797711309523805,32.054957378472224,10.969814484126983,21.177849913194443,1.0111417824074074,34.7273863125
Wädenswil,2018,4.539246461640212,31.841853784722225,10.88442490079365,21.03794140625,1.002922660383598,34.49163927083333
Wädenswil,2019,4.541843683862433,31.841708784722222,10.885662996031746,21.037571614583335,1.002922660383598,34.49163927083333
Wädenswil,2020,4.521794146825397,31.783834895833333,10.845646378968253,20.981915364583333,0.9996237185846562,34.434609270833334
Wädenswil,2021,4.539627976190476,31.87987755208333,10.884737872023809,21.042586979166664,1.003624751984127,34.542750156249994
Wädenswil,2022,4.519413359788359,31.77354892361111,10.842227604166666,20.972856163194443,0.9998071676587301,34.4251045
Wädenswil,2023,4.507323313492064,31.921134079861112,10.764368055555558,20.959107986111114,0.9981194196428571,34.614510281250006
Wädenswil,2024,4.22536605489418,31.613270399305556,10.356144246031747,20.494312934027775,0.9129260499338624,34.37608721875
Wünnewil-Flamatt,2010,8.082131795634922,32.73711513888889,16.67052336309524,26.987973611111112,1.6084278273809522,33.428666750000005
Wünnewil-Flamatt,2011,7.3659664517195775,32.604069288194445,15.538674305555556,26.06485703125,1.4441686507936506,33.39048232291667
Wünnewil-Flamatt,2012,7.284728009259259,32.591667847222226,15.445277083333334,25.99943923611111,1.3996416997354497,33.39030378125
Wünnewil-Flamatt,2013,7.256298627645503,32.58929703125,15.4296748015873,25.988928559027777,1.3867719494047617,33.39025511458333
Wünnewil-Flamatt,2014,7.260173627645504,32.458609913194444,15.4296748015873,25.972185850694444,1.6169500248015873,33.208675052083336
Wünnewil-Flamatt,2015,7.260604183201059,32.45855574652778,15.429785962301587,25.972448350694442,1.6169500248015873,33.208675052083336
Wünnewil-Flamatt,2016,7.265333878968255,32.45953821180555,15.415596850198414,25.95309748263889,1.6195114087301588,33.217629875
Wünnewil-Flamatt,2017,7.265333878968255,32.45953821180555,15.415596850198414,25.95309748263889,1.6195114087301588,33.217629875
Wünnewil-Flamatt,2018,7.265333878968255,32.45953821180555,15.415596850198414,25.95309748263889,1.6195114087301588,33.217629875
Wünnewil-Flamatt,2019,7.269724156746033,32.45948696180555,15.415814707341273,25.95229670138889,1.6195114087301588,33.21762753125
Wünnewil-Flamatt,2020,7.103630340608465,31.959120954861106,15.102470709325397,25.509587586805555,1.5776445932539682,32.70979496875
Wünnewil-Flamatt,2021,6.935875214947089,31.701207309027776,14.880717757936509,25.254268315972222,1.4347879050925925,32.45580353125
Wünnewil-Flamatt,2022,6.862784821428571,31.460990017361112,14.73916857638889,25.048484201388888,1.4192560350529102,32.211020093749994
